ticket_id,case_id,created_at,requester_id,department,channel,category,affected_system,priority,subject,description,status,assignee_id,resolution_code,time_to_resolve_hours,reopened,sla_breached,csat
TCK-00030,CASE-00051,2025-05-28T15:09,USR-00112,Ops,Chat,Email,Outlook,P3,Shared mailbox not updating in Outlook,Outlook is not pulling new messages. Webmail on the browser shows them immediately.,Resolved,TECH-03,Fixed,0.7,No,No,3
TCK-00031,,2025-03-20T11:47,USR-00176,Sales,Email,Software,Outlook,P4,Calendar invites not showing,Meeting invites sent to me don't appear on my Outlook calendar.,Resolved,TECH-06,Escalated,1.6,No,No,3
TCK-00032,,2025-04-19T12:29,USR-00180,Legal,Phone,Hardware,Printer,P3,Toner low warning won't clear,The printer keeps warning low toner even after I replaced the cartridge.,Resolved,TECH-06,Fixed,2.0,No,No,4
TCK-00033,CASE-00051,2025-03-07T10:26,USR-00167,Legal,Chat,Email,Outlook,P3,Outlook not syncing new mail,"Outlook shows 'Disconnected' and no new mail has arrived since this morning, though webmail works fine.",Resolved,TECH-05,Fixed,1.9,No,No,5
TCK-00034,,2025-03-29T13:09,USR-00118,Engineering,Chat,Network,VPN,P4,Slow VPN throughput,VPN connects fine but file transfers are extremely slow compared to last month.,Resolved,TECH-08,Fixed,1.4,No,No,3
TCK-00035,,2025-05-01T11:48,USR-00154,Engineering,Phone,Hardware,Laptop,P3,Laptop battery drains in an hour,Battery health seems poor; it drops from 100% to 10% within an hour.,Resolved,TECH-06,Workaround,1.8,No,No,5
TCK-00036,,2025-03-23T14:54,USR-00239,Legal,Portal,Printing,Printer,P3,Printer shows offline,The 3rd floor printer shows 'offline' and my print jobs just pile up in the queue.,In Progress,TECH-08,,,No,No,
TCK-00037,CASE-00080,2025-04-09T10:05,USR-00228,Engineering,Portal,Hardware,Printer,P1,Toner low warning won't clear,The printer keeps warning low toner even after I replaced the cartridge.,Resolved,TECH-05,Fixed,6.4,No,Yes,3
TCK-00038,CASE-00042,2025-04-28T16:28,USR-00118,Marketing,Email,VPN,VPN,P3,GlobalConnect VPN unstable since v5.2 update,VPN was fine last week. Now it disconnects within minutes of connecting. Reinstalling did not help.,Resolved,TECH-04,Fixed,1.7,No,No,4
TCK-00039,,2025-04-18T16:05,USR-00129,Ops,Portal,Software,Outlook,P3,Calendar invites not showing,Meeting invites sent to me don't appear on my Outlook calendar.,Resolved,TECH-06,Fixed,1.7,No,No,5
TCK-00040,,2025-04-14T16:28,USR-00256,Sales,Portal,Software,Laptop,P3,Teams microphone not working,In Teams calls nobody can hear me; mic works in other apps.,In Progress,TECH-02,,,No,No,
TCK-00041,,2025-05-28T08:38,USR-00146,Engineering,Phone,Software,Laptop,P4,Teams microphone not working,In Teams calls nobody can hear me; mic works in other apps.,Open,TECH-06,,,No,No,
TCK-00042,,2025-04-06T11:36,USR-00229,Legal,Email,Network,Laptop,P3,Wi-Fi keeps dropping in the office,My laptop loses office Wi-Fi every 20 minutes; reconnecting works briefly.,Resolved,TECH-07,Workaround,0.8,Yes,No,1
TCK-00043,,2025-05-06T15:28,USR-00225,Sales,Email,Hardware,Laptop,P3,Laptop won't power on,"My laptop is completely dead - no lights when I press power, even plugged in.",Resolved,TECH-03,No Issue Found,1.4,Yes,Yes,2
TCK-00044,,2025-04-22T16:33,USR-00123,Ops,Portal,Hardware,Laptop,P3,Laptop won't power on,"My laptop is completely dead - no lights when I press power, even plugged in.",Resolved,TECH-01,Fixed,1.2,No,No,4
TCK-00045,,2025-01-22T12:25,USR-00204,Legal,Email,Network,VPN,P4,Slow VPN throughput,VPN connects fine but file transfers are extremely slow compared to last month.,Open,TECH-03,,,No,No,
TCK-00046,,2025-01-21T17:47,USR-00241,Sales,Portal,Network,Laptop,P3,Wi-Fi keeps dropping in the office,My laptop loses office Wi-Fi every 20 minutes; reconnecting works briefly.,Resolved,TECH-01,User Education,2.7,No,No,5
TCK-00047,,2025-03-24T09:15,USR-00215,HR,Phone,Software,CRM,P4,CRM crashes when exporting report,The CRM closes itself every time I export a large report to Excel.,Resolved,TECH-07,User Education,1.4,No,No,3
TCK-00048,,2025-01-12T10:31,USR-00256,Engineering,Chat,Software,Outlook,P4,Calendar invites not showing,Meeting invites sent to me don't appear on my Outlook calendar.,Closed,TECH-04,Duplicate,0.7,No,No,3
TCK-00049,,2025-03-01T09:26,USR-00249,Marketing,Email,Printing,Printer,P3,Cannot print to floor printer,Nothing prints - jobs sit in the queue and the printer status says offline.,Resolved,TECH-07,Fixed,2.0,No,No,5
TCK-00050,,2025-03-10T12:49,USR-00238,Sales,Portal,Printing,Printer,P2,Print jobs stuck in queue,Nothing prints - jobs sit in the queue and the printer status says offline.,Resolved,TECH-03,Fixed,4.2,No,No,3
TCK-00051,,2025-03-07T15:39,USR-00220,Legal,Portal,Hardware,Laptop,P3,Laptop won't power on,"My laptop is completely dead - no lights when I press power, even plugged in.",Resolved,TECH-06,User Education,2.1,No,No,4
TCK-00052,,2025-03-14T13:39,USR-00224,Legal,Email,Software,CRM,P2,CRM crashes when exporting report,The CRM closes itself every time I export a large report to Excel.,Closed,TECH-02,Duplicate,7.7,No,No,2
TCK-00053,CASE-00071,2025-02-26T08:50,USR-00239,HR,Phone,Hardware,Printer,P1,Toner low warning won't clear,The printer keeps warning low toner even after I replaced the cartridge.,In Progress,TECH-01,,,No,No,
TCK-00054,,2025-02-01T10:21,USR-00122,Engineering,Phone,Account/Access,CRM,P3,Need access to CRM Sales module,I moved to the Sales team and need the CRM Sales module added to my account.,Resolved,TECH-06,Fixed,2.8,No,Yes,4
TCK-00055,,2025-03-20T13:18,USR-00109,Finance,Chat,Hardware,Printer,P4,Toner low warning won't clear,The printer keeps warning low toner even after I replaced the cartridge.,Closed,TECH-03,Duplicate,0.6,No,No,4
TCK-00056,,2025-04-11T10:35,USR-00208,Legal,Email,Hardware,Laptop,P3,Laptop battery drains in an hour,Battery health seems poor; it drops from 100% to 10% within an hour.,Resolved,TECH-05,No Issue Found,2.5,No,No,4
TCK-00057,,2025-04-28T16:33,USR-00113,Legal,Phone,Software,Outlook,P4,Calendar invites not showing,Meeting invites sent to me don't appear on my Outlook calendar.,Closed,TECH-02,Fixed,1.9,No,No,5
TCK-00058,,2025-02-15T08:09,USR-00132,Sales,Portal,Software,Laptop,P4,Teams microphone not working,In Teams calls nobody can hear me; mic works in other apps.,In Progress,TECH-06,,,No,No,
TCK-00059,,2025-04-05T11:41,USR-00259,Finance,Portal,Printing,Printer,P3,Cannot print to floor printer,The 3rd floor printer shows 'offline' and my print jobs just pile up in the queue.,Resolved,TECH-03,No Issue Found,0.6,Yes,No,5
TCK-00060,,2025-03-12T10:00,USR-00203,Legal,Chat,Software,CRM,P4,CRM crashes when exporting report,The CRM closes itself every time I export a large report to Excel.,Closed,TECH-06,User Education,1.4,No,No,3
TCK-00061,,2025-01-30T10:08,USR-00184,Engineering,Email,Hardware,Laptop,P3,Laptop battery drains in an hour,Battery health seems poor; it drops from 100% to 10% within an hour.,Resolved,TECH-05,No Issue Found,0.5,No,No,5
TCK-00062,,2025-05-04T12:49,USR-00164,Sales,Chat,Network,VPN,P4,Slow VPN throughput,VPN connects fine but file transfers are extremely slow compared to last month.,Resolved,TECH-06,Fixed,1.9,No,No,3
TCK-00063,,2025-05-31T17:05,USR-00112,Marketing,Email,Security,Outlook,P4,Suspicious phishing email received,I received an email asking me to verify my password via a link - looks like phishing.,In Progress,TECH-05,,,No,No,
TCK-00064,CASE-00067,2025-03-27T14:38,USR-00233,Legal,Portal,Account/Access,Active Directory,P2,Account locked out repeatedly,After changing my password my account locks repeatedly. Phone and laptop both fail to sign in.,Resolved,TECH-06,Fixed,13.0,Yes,No,5
TCK-00065,CASE-00042,2025-03-18T08:48,USR-00139,Finance,Phone,VPN,VPN,P2,GlobalConnect VPN unstable since v5.2 update,Since the VPN client auto-updated this week the tunnel drops every 3-5 minutes and I have to reconnect constantly.,Escalated,TECH-02,,,No,No,
TCK-00066,,2025-01-27T12:35,USR-00234,Sales,Chat,Network,VPN,P4,Slow VPN throughput,VPN connects fine but file transfers are extremely slow compared to last month.,Resolved,TECH-06,User Education,1.7,No,No,4
TCK-00067,CASE-00042,2025-03-15T13:07,USR-00145,Ops,Email,VPN,VPN,P3,VPN disconnects every few minutes since the update,VPN was fine last week. Now it disconnects within minutes of connecting. Reinstalling did not help.,Resolved,TECH-05,Fixed,0.5,No,No,3
TCK-00068,,2025-05-21T11:40,USR-00240,Finance,Chat,Hardware,Laptop,P4,Laptop won't power on,"My laptop is completely dead - no lights when I press power, even plugged in.",Resolved,TECH-08,Fixed,1.0,No,No,4
TCK-00069,,2025-04-08T16:37,USR-00233,Engineering,Chat,Hardware,Printer,P3,Toner low warning won't clear,The printer keeps warning low toner even after I replaced the cartridge.,Resolved,TECH-01,Fixed,3.8,No,No,5
TCK-00070,,2025-04-05T15:02,USR-00114,Sales,Chat,Software,CRM,P4,CRM crashes when exporting report,The CRM closes itself every time I export a large report to Excel.,Closed,TECH-06,Duplicate,1.4,No,No,4
TCK-00071,CASE-00042,2025-03-09T11:08,USR-00155,Finance,Email,VPN,VPN,P3,VPN disconnects every few minutes since the update,Since the VPN client auto-updated this week the tunnel drops every 3-5 minutes and I have to reconnect constantly.,Closed,TECH-04,Workaround,3.6,No,Yes,5
TCK-00072,CASE-00042,2025-03-14T17:27,USR-00135,Ops,Chat,VPN,VPN,P3,Cannot stay connected to VPN after client upgrade,VPN was fine last week. Now it disconnects within minutes of connecting. Reinstalling did not help.,In Progress,TECH-02,,,No,No,
TCK-00073,CASE-00042,2025-02-16T16:49,USR-00178,Finance,Email,VPN,VPN,P2,Cannot stay connected to VPN after client upgrade,Since the VPN client auto-updated this week the tunnel drops every 3-5 minutes and I have to reconnect constantly.,Resolved,TECH-04,Duplicate,8.9,No,No,4
TCK-00074,CASE-00042,2025-03-15T09:38,USR-00242,Finance,Phone,VPN,VPN,P2,VPN keeps dropping at home,"After the latest VPN client update I get disconnected repeatedly, especially on Wi-Fi. Wired is slightly better but still drops.",Resolved,TECH-01,Fixed,10.7,No,No,5
TCK-00075,,2025-05-04T12:29,USR-00173,Marketing,Portal,Network,VPN,P2,Slow VPN throughput,VPN connects fine but file transfers are extremely slow compared to last month.,Escalated,TECH-02,,,No,No,
TCK-00076,CASE-00042,2025-02-15T14:38,USR-00219,Ops,Phone,VPN,VPN,P2,VPN disconnects every few minutes since the update,Since the VPN client auto-updated this week the tunnel drops every 3-5 minutes and I have to reconnect constantly.,Escalated,TECH-01,,,No,No,
TCK-00077,,2025-04-07T11:37,USR-00207,Ops,Email,Hardware,Laptop,P2,Laptop won't power on,"My laptop is completely dead - no lights when I press power, even plugged in.",Escalated,TECH-02,,,No,Yes,
TCK-00078,CASE-00051,2025-03-25T13:57,USR-00163,Marketing,Email,Email,Outlook,P2,Emails stuck in Outbox,My emails sit in the Outbox and never send. Restarting Outlook did not fix it.,Escalated,TECH-06,,,No,Yes,
TCK-00079,,2025-01-21T09:29,USR-00130,Marketing,Phone,Security,Outlook,P4,Suspicious phishing email received,I received an email asking me to verify my password via a link - looks like phishing.,Resolved,TECH-06,Fixed,1.3,No,No,2
TCK-00080,,2025-06-01T13:36,USR-00112,Ops,Chat,Hardware,Laptop,P3,Laptop battery drains in an hour,Battery health seems poor; it drops from 100% to 10% within an hour.,Resolved,TECH-05,Workaround,0.6,No,Yes,3
TCK-00081,CASE-00051,2025-02-22T09:38,USR-00130,Ops,Portal,Email,Outlook,P2,Outlook not syncing new mail,Outlook is not pulling new messages. Webmail on the browser shows them immediately.,Escalated,TECH-01,,,No,Yes,
TCK-00082,,2025-04-02T16:23,USR-00228,Sales,Email,Account/Access,CRM,P3,Need access to CRM Sales module,I moved to the Sales team and need the CRM Sales module added to my account.,In Progress,TECH-01,,,No,No,
TCK-00083,,2025-03-17T16:00,USR-00221,Marketing,Chat,Network,Laptop,P4,Wi-Fi keeps dropping in the office,My laptop loses office Wi-Fi every 20 minutes; reconnecting works briefly.,Closed,TECH-08,Fixed,0.9,No,No,4
TCK-00084,CASE-00051,2025-02-28T13:13,USR-00123,Marketing,Chat,Email,Outlook,P2,Emails stuck in Outbox,My emails sit in the Outbox and never send. Restarting Outlook did not fix it.,Resolved,TECH-05,Workaround,4.4,No,No,4
TCK-00085,,2025-04-29T08:13,USR-00255,Legal,Portal,Network,VPN,P4,Slow VPN throughput,VPN connects fine but file transfers are extremely slow compared to last month.,Resolved,TECH-03,Fixed,0.9,No,Yes,2
TCK-00086,,2025-01-20T08:13,USR-00210,Finance,Portal,Software,Outlook,P3,Calendar invites not showing,Meeting invites sent to me don't appear on my Outlook calendar.,Resolved,TECH-07,Fixed,1.0,No,Yes,5
TCK-00087,,2025-02-03T11:01,USR-00220,Legal,Email,Network,VPN,P4,Slow VPN throughput,VPN connects fine but file transfers are extremely slow compared to last month.,Resolved,TECH-03,Fixed,1.1,No,No,5
TCK-00088,,2025-04-29T12:47,USR-00257,Marketing,Portal,Hardware,Laptop,P3,Laptop battery drains in an hour,Battery health seems poor; it drops from 100% to 10% within an hour.,Resolved,TECH-04,Fixed,2.4,No,No,2
TCK-00089,CASE-00067,2025-01-07T09:49,USR-00232,HR,Email,Account/Access,Active Directory,P2,Locked out after password change,My account locks out within minutes even after IT unlocks it. I changed my password yesterday.,In Progress,TECH-04,,,No,No,
TCK-00090,,2025-03-16T17:51,USR-00251,Engineering,Phone,Software,CRM,P4,CRM crashes when exporting report,The CRM closes itself every time I export a large report to Excel.,Open,TECH-04,,,No,No,
TCK-00091,CASE-00074,2025-02-11T17:42,USR-00187,Finance,Phone,Security,Outlook,P1,Suspicious phishing email received,I received an email asking me to verify my password via a link - looks like phishing.,Resolved,TECH-05,Workaround,1.7,Yes,Yes,3
TCK-00092,,2025-05-02T14:26,USR-00221,Sales,Email,Account/Access,CRM,P3,Need access to CRM Sales module,I moved to the Sales team and need the CRM Sales module added to my account.,Closed,TECH-02,Fixed,1.6,No,No,5
TCK-00093,,2025-04-17T16:23,USR-00185,Legal,Portal,Hardware,Laptop,P3,Laptop won't power on,"My laptop is completely dead - no lights when I press power, even plugged in.",Resolved,TECH-03,Escalated,1.8,No,No,5
TCK-00094,,2025-03-31T09:55,USR-00103,Marketing,Portal,Software,Laptop,P4,Teams microphone not working,In Teams calls nobody can hear me; mic works in other apps.,In Progress,TECH-07,,,No,No,
TCK-00095,CASE-00067,2025-05-07T17:54,USR-00247,Finance,Chat,Account/Access,Active Directory,P2,Account locked out repeatedly,My account locks out within minutes even after IT unlocks it. I changed my password yesterday.,Escalated,TECH-08,,,No,No,
TCK-00096,,2025-01-18T13:17,USR-00147,HR,Chat,Software,Outlook,P3,Calendar invites not showing,Meeting invites sent to me don't appear on my Outlook calendar.,Resolved,TECH-06,Fixed,3.6,No,No,3
TCK-00097,,2025-01-06T11:37,USR-00220,Sales,Phone,Account/Access,CRM,P3,Need access to CRM Sales module,I moved to the Sales team and need the CRM Sales module added to my account.,Resolved,TECH-07,Fixed,3.0,No,No,4
TCK-00098,CASE-00067,2025-02-19T17:36,USR-00182,HR,Chat,Account/Access,Active Directory,P3,Locked out after password change,After changing my password my account locks repeatedly. Phone and laptop both fail to sign in.,Resolved,TECH-08,Fixed,0.5,No,No,5
TCK-00099,,2025-04-10T09:32,USR-00217,Marketing,Portal,Security,Outlook,P3,Suspicious phishing email received,I received an email asking me to verify my password via a link - looks like phishing.,Closed,TECH-07,Fixed,2.0,No,No,4
TCK-00100,CASE-00067,2025-02-02T14:55,USR-00158,Finance,Email,Account/Access,Active Directory,P3,AD account locks within minutes of unlocking,My account locks out within minutes even after IT unlocks it. I changed my password yesterday.,Resolved,TECH-04,Fixed,1.2,No,No,2
TCK-00101,CASE-00051,2025-01-24T08:29,USR-00189,Sales,Portal,Email,Outlook,P2,Outlook stopped receiving email this morning,My emails sit in the Outbox and never send. Restarting Outlook did not fix it.,Resolved,TECH-06,Escalated,14.3,No,Yes,5
TCK-00102,,2025-01-13T14:21,USR-00132,Ops,Email,Printing,Printer,P2,Cannot print to floor printer,Nothing prints - jobs sit in the queue and the printer status says offline.,In Progress,TECH-07,,,No,No,
TCK-00103,,2025-02-09T15:09,USR-00155,Legal,Portal,Network,VPN,P3,Slow VPN throughput,VPN connects fine but file transfers are extremely slow compared to last month.,Resolved,TECH-02,Escalated,1.8,No,No,3
TCK-00104,,2025-05-14T10:37,USR-00254,Engineering,Email,Network,VPN,P3,Slow VPN throughput,VPN connects fine but file transfers are extremely slow compared to last month.,Open,TECH-01,,,No,No,
TCK-00105,,2025-05-18T09:18,USR-00156,Legal,Chat,Software,Laptop,P4,Teams microphone not working,In Teams calls nobody can hear me; mic works in other apps.,Resolved,TECH-06,Fixed,1.2,No,No,4
TCK-00106,,2025-05-04T12:41,USR-00237,Finance,Chat,Hardware,Laptop,P4,Laptop battery drains in an hour,Battery health seems poor; it drops from 100% to 10% within an hour.,Resolved,TECH-08,Fixed,1.9,No,No,5
TCK-00107,,2025-04-06T11:40,USR-00124,Marketing,Email,Software,Outlook,P3,Calendar invites not showing,Meeting invites sent to me don't appear on my Outlook calendar.,Resolved,TECH-05,Fixed,3.1,No,No,3
TCK-00108,CASE-00067,2025-05-04T16:35,USR-00209,Legal,Chat,Account/Access,Active Directory,P2,Account locked out repeatedly,I keep getting 'account locked' on login. It was unlocked an hour ago and locked again.,Resolved,TECH-03,Fixed,11.1,No,No,4
TCK-00109,CASE-00042,2025-04-04T17:16,USR-00196,Sales,Phone,VPN,VPN,P2,VPN disconnects every few minutes since the update,"After the latest VPN client update I get disconnected repeatedly, especially on Wi-Fi. Wired is slightly better but still drops.",Escalated,TECH-06,,,No,No,
TCK-00110,,2025-03-21T11:52,USR-00182,Finance,Phone,Software,CRM,P3,CRM crashes when exporting report,The CRM closes itself every time I export a large report to Excel.,Open,TECH-03,,,No,No,
TCK-00111,,2025-02-12T11:06,USR-00260,HR,Chat,Security,Outlook,P4,Suspicious phishing email received,I received an email asking me to verify my password via a link - looks like phishing.,Resolved,TECH-08,Fixed,1.4,No,No,3
TCK-00112,CASE-00067,2025-03-31T17:20,USR-00175,Ops,Portal,Account/Access,Active Directory,P3,Locked out after password change,My account locks out within minutes even after IT unlocks it. I changed my password yesterday.,Closed,TECH-04,Fixed,3.7,No,No,4
TCK-00113,CASE-00081,2025-04-15T13:16,USR-00260,Sales,Phone,Hardware,Printer,P1,Toner low warning won't clear,The printer keeps warning low toner even after I replaced the cartridge.,Escalated,TECH-03,,,No,No,
TCK-00114,,2025-06-03T17:14,USR-00137,Legal,Portal,Network,Laptop,P4,Wi-Fi keeps dropping in the office,My laptop loses office Wi-Fi every 20 minutes; reconnecting works briefly.,Closed,TECH-01,Workaround,0.8,No,No,4
TCK-00115,CASE-00042,2025-04-18T12:04,USR-00217,Finance,Phone,VPN,VPN,P3,Cannot stay connected to VPN after client upgrade,Since the VPN client auto-updated this week the tunnel drops every 3-5 minutes and I have to reconnect constantly.,Resolved,TECH-03,No Issue Found,3.6,No,No,5
TCK-00116,,2025-03-17T12:07,USR-00137,Engineering,Email,Software,Laptop,P4,Teams microphone not working,In Teams calls nobody can hear me; mic works in other apps.,Closed,TECH-05,Fixed,1.8,No,No,5
TCK-00117,,2025-02-19T13:32,USR-00246,Engineering,Chat,Software,CRM,P4,CRM crashes when exporting report,The CRM closes itself every time I export a large report to Excel.,Resolved,TECH-03,Escalated,1.7,No,No,5
TCK-00118,,2025-02-05T11:20,USR-00250,Legal,Phone,Network,Laptop,P3,Wi-Fi keeps dropping in the office,My laptop loses office Wi-Fi every 20 minutes; reconnecting works briefly.,Resolved,TECH-02,Fixed,3.2,No,No,5
TCK-00119,CASE-00067,2025-01-23T12:22,USR-00166,Finance,Phone,Account/Access,Active Directory,P2,Locked out after password change,I keep getting 'account locked' on login. It was unlocked an hour ago and locked again.,Resolved,TECH-01,Fixed,10.0,No,Yes,3
TCK-00120,,2025-05-31T08:38,USR-00193,HR,Phone,Security,Outlook,P3,Suspicious phishing email received,I received an email asking me to verify my password via a link - looks like phishing.,Resolved,TECH-05,Fixed,1.8,No,No,4
TCK-00121,,2025-05-30T11:29,USR-00141,Engineering,Email,Hardware,Printer,P4,Toner low warning won't clear,The printer keeps warning low toner even after I replaced the cartridge.,Closed,TECH-01,User Education,0.8,No,No,4
TCK-00122,,2025-05-06T10:48,USR-00240,Marketing,Chat,Hardware,Laptop,P3,Laptop won't power on,"My laptop is completely dead - no lights when I press power, even plugged in.",Closed,TECH-02,Fixed,0.5,No,No,5
TCK-00123,,2025-05-22T15:45,USR-00178,Legal,Email,Software,Laptop,P4,Teams microphone not working,In Teams calls nobody can hear me; mic works in other apps.,Closed,TECH-08,Fixed,0.5,No,No,5
TCK-00124,,2025-03-09T15:35,USR-00206,Engineering,Phone,Hardware,Printer,P4,Toner low warning won't clear,The printer keeps warning low toner even after I replaced the cartridge.,Resolved,TECH-01,Fixed,1.4,No,No,3
TCK-00125,,2025-03-25T15:01,USR-00172,HR,Chat,Software,Laptop,P3,Teams microphone not working,In Teams calls nobody can hear me; mic works in other apps.,Resolved,TECH-05,Fixed,2.1,No,Yes,5
TCK-00126,,2025-05-24T16:02,USR-00259,Legal,Portal,Hardware,Laptop,P3,Laptop battery drains in an hour,Battery health seems poor; it drops from 100% to 10% within an hour.,Closed,TECH-08,Duplicate,2.7,No,No,4
